,title,price,link
10,"Lenovo ThinkPad E16 Intel Core i3 13th Gen 16"" WUXGA IPS 300 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/FPR/Black/1Y Onsite/1.77 kg), 21JNS0QD00  ","49,490",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMjg3MTkyMTMwNTU5MzcyOjE3MjY0NzkwNDg6c3BfYnRmOjMwMDMxNDM0NDY0NDAzMjo6MDo6&url=%2FLenovo-ThinkPad-Laptop-Windows-21JNS0QD00%2Fdp%2FB0D4YL7FM9%2Fref%3Dsr_1_85_sspa%3Fcrid%3DI0SZFAOA7OLD%26dib%3DeyJ2IjoiMSJ9.6dxdWGc71PvxUm_AvYvCDdD5PDz_X4eyVDeP5PNLKMSbRxJaN5YbM_HjW3-bfwpCH9CVxqkTI8WtKen0uotaLOZ62CVG_qXpkS5KXap0ZZXkdsPbl5PgRTKkEQpA5oUZe_OhHf4VWXN1pgwvIpOunF4s0AZBspKjVNjZggUDCK6VNlw8ZKGk4-iNUJZYSTsp2aXx8hhD87B3IBLsoPhP3EuWj-Lqpn7jxTcvFTApvaw.NjTWrpAiecb1g3GAo_kQONP8hmUwP3wJi-2wzuTVGak%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726479048%26sprefix%3Dlapto%252Caps%252C203%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
11,Small Laptop |Laptop for Kids |Kids Laptop |Kids Toy |Laptop for Students |Toy Laptop |Kids Toys |Computer |Baby Laptop for Kids |Baby Laptop for Kids for 2 Years |Children Laptop for Years and Ages  ,872,https://amazon.in//sspa/click?ie=UTF8&spc=MToxMjg3MTkyMTMwNTU5MzcyOjE3MjY0NzkwNDg6c3BfYnRmOjMwMDMxNzI2NzUzNzUzMjo6MDo6&url=%2FSmall-Laptop-Students-Computer-Children%2Fdp%2FB09KM5481C%2Fref%3Dsr_1_86_sspa%3Fcrid%3DI0SZFAOA7OLD%26dib%3DeyJ2IjoiMSJ9.6dxdWGc71PvxUm_AvYvCDdD5PDz_X4eyVDeP5PNLKMSbRxJaN5YbM_HjW3-bfwpCH9CVxqkTI8WtKen0uotaLOZ62CVG_qXpkS5KXap0ZZXkdsPbl5PgRTKkEQpA5oUZe_OhHf4VWXN1pgwvIpOunF4s0AZBspKjVNjZggUDCK6VNlw8ZKGk4-iNUJZYSTsp2aXx8hhD87B3IBLsoPhP3EuWj-Lqpn7jxTcvFTApvaw.NjTWrpAiecb1g3GAo_kQONP8hmUwP3wJi-2wzuTVGak%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726479048%26sprefix%3Dlapto%252Caps%252C203%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA3GPAMH0PT2TG4
12,"MSI Thin 15, Intel 13th Gen. Core i7-13620H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB /Cosmos Gray/1.86Kg), B13UCX-1806IN  ","67,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNTgwOTE1Njg0NTgzOTU1OjE3MjY0NzkwMzA6c3BfbXRmOjMwMDMyNTEzMTM3NzAzMjo6MDo6&url=%2FMSI-i7-13620H-Windows-GeForce-B13UCX-1806IN%2Fdp%2FB0CV9NM13Y%2Fref%3Dsr_1_12_sspa%3Fcrid%3DI0SZFAOA7OLD%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TGiKFHPBc5kv8MaX1n9XES5UphSgxH2HIqEAjIbfvzgwXR5XWXwaErW4goFGoWUUjn5Oae11Hd0gJ80kB4NPRuvo8N9OwbHpskqzjUCfWKQWrWg7BAGYsk-WSYjo4JR6a2x5IqGuESjaYB37P-AvdXzZhuUXGRmhH-LcLPgLhmkZQT8YZYPa4d1Z-uhwANOcgKZSHgUIlGv3GQ4BQvCte7Q.1uf5_WbTCr9RSHBTxcukv2Ybe1gtdaeMMgduEhRrpF4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726479030%26sprefix%3Dlapto%252Caps%252C203%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
13,"(Refurbished) Fujitsu Laptop H770 Intel Core i7-7th Gen Xeon E3-1505M V6 @ 3.0 Ghz Processor4GB Nvidia Quadro M2200 Graphic (8GB RAM/256GB SSD/15.6"" FHD (1080p)/Win 10/BT/ Numeric Keypad/ Silver)  ","25,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNTcxMjc3NTAwMzk3Nzg4OjE3MjY0NzkwNTI6c3BfYXRmX25leHQ6MzAwMjg2MzcwMTc1MTMyOjowOjo&url=%2FRefurbished-Fujitsu-E3-1505M-Processor4GB-Graphic%2Fdp%2FB0DC46SSD6%2Fref%3Dsr_1_81_sspa%3Fcrid%3DI0SZFAOA7OLD%26dib%3DeyJ2IjoiMSJ9.O898vX49b9QWko_TJJRjNsQlYXqcl0vcTyyHgdeTDKb1BlpMu1BfeMEDgF72XI--H0QCXNJHnvDAyu3NKfTebCyJRIDiIAHyR52ZPa_QPmTt6UM50UukxZ9RQ9OmUAwYKhpYO-wGz0sNb0GDE3o9_3TqwCxLnKOaKMdj_9tRnExbSvRhzGTf2zLhjhsrkfVesxzKKrHWW8SC381_nSgnAKA8c33Z_l9q7hqZ8b9JOa0.vRHw6xWYpkXXsME8OKe2Dr0PRMNSFfgSnXXykfC8moY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726479052%26sprefix%3Dlapto%252Caps%252C203%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
14,"(Refurbished) Lenovo ThinkPad P50 Intel Core i7-6820HQ Quad Core Processor Nvidia M1000M 4GB Graphic Laptop (32 GB DDR4 RAM/512 GB SSD/15.6"" (39.62 cm) FHD (1080p)/Windows 10/WiFi/Bluetooth/Webcam)  ","39,190",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNTcxMjc3NTAwMzk3Nzg4OjE3MjY0NzkwNTI6c3BfYXRmX25leHQ6MzAwMjYwODE4ODM3OTMyOjowOjo&url=%2FRefurbished-Lenovo-i7-6820HQ-Processor-Bluetooth%2Fdp%2FB0D9KP7TN1%2Fref%3Dsr_1_82_sspa%3Fcrid%3DI0SZFAOA7OLD%26dib%3DeyJ2IjoiMSJ9.O898vX49b9QWko_TJJRjNsQlYXqcl0vcTyyHgdeTDKb1BlpMu1BfeMEDgF72XI--H0QCXNJHnvDAyu3NKfTebCyJRIDiIAHyR52ZPa_QPmTt6UM50UukxZ9RQ9OmUAwYKhpYO-wGz0sNb0GDE3o9_3TqwCxLnKOaKMdj_9tRnExbSvRhzGTf2zLhjhsrkfVesxzKKrHWW8SC381_nSgnAKA8c33Z_l9q7hqZ8b9JOa0.vRHw6xWYpkXXsME8OKe2Dr0PRMNSFfgSnXXykfC8moY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726479052%26sprefix%3Dlapto%252Caps%252C203%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
15,"Lenovo ThinkPad T15g Intel 11th Gen Core i7 15.6"" (39.62cm) FHD IPS 300 nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 10 Pro/NVIDIA GeForce RTX 3070 8GB /Black/2.87 Kg), 20YSS01K00  ","1,79,990",https://amazon.in//Lenovo-ThinkPad-39-62cm-Antiglare-20YSS01K00/dp/B0BDZQS7F5/ref=sr_1_83?crid=I0SZFAOA7OLD&dib=eyJ2IjoiMSJ9.O898vX49b9QWko_TJJRjNsQlYXqcl0vcTyyHgdeTDKb1BlpMu1BfeMEDgF72XI--H0QCXNJHnvDAyu3NKfTebCyJRIDiIAHyR52ZPa_QPmTt6UM50UukxZ9RQ9OmUAwYKhpYO-wGz0sNb0GDE3o9_3TqwCxLnKOaKMdj_9tRnExbSvRhzGTf2zLhjhsrkfVesxzKKrHWW8SC381_nSgnAKA8c33Z_l9q7hqZ8b9JOa0.vRHw6xWYpkXXsME8OKe2Dr0PRMNSFfgSnXXykfC8moY&dib_tag=se&keywords=laptop&qid=1726479052&sprefix=lapto%2Caps%2C203&sr=8-83
16,"HP 255 G9 (840T7PA) Notebook (AMD Athlon Silver-3050U/ 4GB RAM/ 256GB SSD/DOS/ 15.6"" Screen/ 1 Year Warranty), Black  ","19,540",https://amazon.in//HP-255-G9-Notebook-Silver-3050U/dp/B0C8VF4DL5/ref=sr_1_84?crid=I0SZFAOA7OLD&dib=eyJ2IjoiMSJ9.O898vX49b9QWko_TJJRjNsQlYXqcl0vcTyyHgdeTDKb1BlpMu1BfeMEDgF72XI--H0QCXNJHnvDAyu3NKfTebCyJRIDiIAHyR52ZPa_QPmTt6UM50UukxZ9RQ9OmUAwYKhpYO-wGz0sNb0GDE3o9_3TqwCxLnKOaKMdj_9tRnExbSvRhzGTf2zLhjhsrkfVesxzKKrHWW8SC381_nSgnAKA8c33Z_l9q7hqZ8b9JOa0.vRHw6xWYpkXXsME8OKe2Dr0PRMNSFfgSnXXykfC8moY&dib_tag=se&keywords=laptop&qid=1726479052&sprefix=lapto%2Caps%2C203&sr=8-84
17,"(Refurbished) Lenovo ThinkPad 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ","15,229",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR4BZMQG/ref=sr_1_85?crid=I0SZFAOA7OLD&dib=eyJ2IjoiMSJ9.O898vX49b9QWko_TJJRjNsQlYXqcl0vcTyyHgdeTDKb1BlpMu1BfeMEDgF72XI--H0QCXNJHnvDAyu3NKfTebCyJRIDiIAHyR52ZPa_QPmTt6UM50UukxZ9RQ9OmUAwYKhpYO-wGz0sNb0GDE3o9_3TqwCxLnKOaKMdj_9tRnExbSvRhzGTf2zLhjhsrkfVesxzKKrHWW8SC381_nSgnAKA8c33Z_l9q7hqZ8b9JOa0.vRHw6xWYpkXXsME8OKe2Dr0PRMNSFfgSnXXykfC8moY&dib_tag=se&keywords=laptop&qid=1726479052&sprefix=lapto%2Caps%2C203&sr=8-85
18,"MSI Modern 15, Intel 12th Gen. i3-1215U, 40CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Intel UHD Graphics/Classic Black/1.7Kg), B12M-612IN  ","32,990",https://amazon.in//MSI-i3-1215U-Windows-Graphics-B12M-612IN/dp/B0C9JFKHP2/ref=sr_1_86?crid=I0SZFAOA7OLD&dib=eyJ2IjoiMSJ9.O898vX49b9QWko_TJJRjNsQlYXqcl0vcTyyHgdeTDKb1BlpMu1BfeMEDgF72XI--H0QCXNJHnvDAyu3NKfTebCyJRIDiIAHyR52ZPa_QPmTt6UM50UukxZ9RQ9OmUAwYKhpYO-wGz0sNb0GDE3o9_3TqwCxLnKOaKMdj_9tRnExbSvRhzGTf2zLhjhsrkfVesxzKKrHWW8SC381_nSgnAKA8c33Z_l9q7hqZ8b9JOa0.vRHw6xWYpkXXsME8OKe2Dr0PRMNSFfgSnXXykfC8moY&dib_tag=se&keywords=laptop&qid=1726479052&sprefix=lapto%2Caps%2C203&sr=8-86
19,"(Refurbished) Dell Latitude 5280 7th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/12.5"" (31.8 cm) HD/Windows 11/MS Office/WiFi/BT/Intel UHD Graphics)  ","18,898",https://amazon.in//Refurbished-Dell-Latitude-Windows-Graphics/dp/B0D8CSRH9N/ref=sr_1_87?crid=I0SZFAOA7OLD&dib=eyJ2IjoiMSJ9.O898vX49b9QWko_TJJRjNsQlYXqcl0vcTyyHgdeTDKb1BlpMu1BfeMEDgF72XI--H0QCXNJHnvDAyu3NKfTebCyJRIDiIAHyR52ZPa_QPmTt6UM50UukxZ9RQ9OmUAwYKhpYO-wGz0sNb0GDE3o9_3TqwCxLnKOaKMdj_9tRnExbSvRhzGTf2zLhjhsrkfVesxzKKrHWW8SC381_nSgnAKA8c33Z_l9q7hqZ8b9JOa0.vRHw6xWYpkXXsME8OKe2Dr0PRMNSFfgSnXXykfC8moY&dib_tag=se&keywords=laptop&qid=1726479052&sprefix=lapto%2Caps%2C203&sr=8-87
